GO,CUI
GO:0004113,C0000184
GO:0008663,C0000184
GO:0001669,C0001216
GO:0001508,C0001272
GO:0006953,C0001349
GO:0000752,C0001801
GO:0007157,C0001801
GO:0002118,C0001807
GO:0007568,C0001811
GO:0097186,C0002451
GO:0043038,C0002511
GO:0000090,C0002788
GO:0030105,C0002792
GO:0002377,C0003261
GO:0001788,C0003272
GO:0020033,C0003319
GO:0032098,C0003622
GO:0001896,C0004372
GO:0097264,C0004372
GO:0006914,C0004391
GO:0016236,C0004391
GO:0030424,C0004461
GO:0008088,C0004462
GO:0098930,C0004462
GO:0005604,C0004799
GO:0007610,C0004927
GO:0006810,C0005528
GO:0007567,C0005615
GO:0008015,C0005775
GO:0007596,C0005778
GO:0001659,C0005905
GO:0060348,C0005939
GO:1990523,C0005972
GO:0045453,C0005974
GO:0044299,C0006549
GO:0031214,C0006660
GO:0007155,C0007577
GO:0098743,C0007580
GO:0090398,C0007581
GO:0007569,C0007581
GO:0090399,C0007581
GO:0007154,C0007582
GO:0007049,C0007586
GO:0008219,C0007587
GO:0030154,C0007589
GO:0051301,C0007590
GO:0000279,C0007591
GO:0016049,C0007595
GO:0005886,C0007603
GO:0009280,C0007603
GO:0048870,C0007608
GO:0005730,C0007609
GO:0005634,C0007610
GO:0007048,C0007621
GO:0005618,C0007623
GO:0005623,C0007634
GO:0016234,C0007637
GO:0005814,C0007708
GO:0000775,C0007709
GO:0005698,C0007709
GO:0006935,C0008018
GO:0043577,C0008018
GO:0030595,C0008019
GO:0009507,C0008266
GO:0042600,C0008503
GO:0042583,C0008537
GO:0005694,C0008545
GO:0005695,C0008545
GO:0005694,C0008633
GO:0005929,C0008778
GO:0031514,C0008778
GO:0007623,C0008810
GO:0006099,C0008858
GO:0050890,C0009240
GO:0006956,C0009528
GO:0006957,C0009546
GO:0008306,C0009649
GO:0035106,C0009651
GO:0060242,C0009835
GO:0035176,C0009964
GO:0007620,C0009990
GO:0001554,C0010096
GO:0000910,C0010813
GO:0005737,C0010834
GO:0099636,C0010839
GO:0005856,C0010853
GO:1990603,C0010985
GO:0016265,C0011065
GO:0046697,C0011107
GO:0030421,C0011135
GO:0030425,C0011305
GO:0097187,C0011435
GO:0030057,C0011703
GO:0060207,C0012154
GO:0007586,C0012238
GO:0035810,C0012797
GO:0006281,C0012899
GO:0007549,C0013057
GO:0042756,C0013124
GO:0042493,C0013203
GO:0009315,C0013203
GO:0007631,C0013470
GO:0050959,C0013529
GO:0006118,C0013846
GO:0009790,C0013936
GO:0009792,C0013936
GO:0009793,C0013936
GO:0006897,C0014139
GO:0005783,C0014239
GO:0097613,C0014587
GO:0030218,C0014819
GO:0042751,C0014906
GO:0060209,C0014948
GO:0006887,C0015283
GO:0035640,C0015328
GO:0031012,C0015350
GO:0005615,C0015352
GO:0007631,C0015745
GO:0042755,C0015745
GO:0006113,C0015852
GO:0009566,C0015914
GO:0001660,C0015967
GO:0042730,C0016017
GO:0019861,C0016192
GO:0005929,C0016192
GO:0000128,C0016243
GO:0001541,C0016434
GO:0007276,C0017001
GO:0035483,C0017127
GO:0035822,C0017259
GO:0010467,C0017262
GO:0010468,C0017263
GO:0051866,C0017301
GO:0097426,C0017626
GO:0150103,C0017639
GO:0006094,C0017715
GO:0006096,C0017952
GO:0070085,C0017982
GO:0005794,C0018042
GO:0005795,C0018042
GO:0040007,C0018270
GO:0007605,C0018767
GO:0030097,C0018951
GO:0007599,C0019116
GO:0000792,C0019397
GO:0042750,C0019516
GO:0042592,C0019868
GO:0002524,C0020517
GO:0001806,C0020522
GO:0016068,C0020523
GO:0071735,C0020855
GO:0071735,C0020856
GO:0002449,C0020966
GO:0002456,C0020966
GO:0045087,C0020969
GO:0006954,C0021368
GO:0017085,C0021575
GO:0006806,C0021575
GO:0007320,C0021586
GO:0005911,C0021721
GO:0030054,C0021721
GO:0005882,C0021770
GO:0051325,C0021798
GO:0030325,C0021800
GO:0050892,C0021826
GO:0120054,C0021838
GO:0031090,C0021868
GO:0031424,C0022566
GO:0042465,C0022699
GO:0019232,C0022701
GO:0007595,C0022925
GO:0007612,C0023185
GO:0016042,C0023796
GO:0097421,C0023907
GO:0040011,C0023946
GO:0001553,C0024153
GO:0046649,C0024262
GO:0005764,C0024369
GO:0042116,C0024426
GO:0071626,C0024888
GO:0042711,C0024919
GO:0042470,C0025213
GO:0061025,C0025246
GO:0007613,C0025260
GO:0007614,C0025265
GO:0042696,C0025274
GO:0042697,C0025320
GO:0044850,C0025329
GO:0042703,C0025344
GO:0098754,C0025516
GO:0008152,C0025519
GO:0007552,C0025558
GO:0000089,C0025564
GO:0036074,C0025568
GO:0060210,C0025597
GO:0032259,C0025723
GO:0042579,C0025954
GO:0005884,C0025979
GO:0036379,C0025979
GO:0015629,C0025979
GO:0005792,C0026029
GO:0005874,C0026046
GO:0005902,C0026049
GO:0060156,C0026132
GO:0005739,C0026237
GO:0000278,C0026255
GO:0072686,C0026258
GO:0009653,C0026559
GO:0048532,C0026559
GO:0031594,C0026608
GO:0120197,C0026687
GO:0006936,C0026820
GO:0003776,C0026820
GO:0000146,C0026820
GO:0090075,C0026836
GO:0014889,C0026846
GO:0043209,C0026973
GO:0060047,C0027045
GO:0030016,C0027075
GO:0035815,C0027477
GO:0030147,C0027477
GO:0008219,C0027540
GO:0001906,C0027540
GO:0019835,C0027540
GO:0070265,C0027540
GO:0008220,C0027540
GO:0016271,C0027540
GO:0060033,C0027540
GO:0043679,C0027747
GO:0044306,C0027747
GO:0043005,C0027749
GO:0007268,C0027793
GO:0019226,C0027793
GO:0005883,C0027834
GO:0031594,C0027869
GO:0009399,C0028161
GO:0016363,C0028581
GO:0005635,C0028584
GO:0031965,C0028584
GO:0005643,C0028587
GO:0005731,C0028609
GO:0042476,C0028877
GO:0042475,C0028877
GO:0048477,C0029047
GO:0043226,C0029219
GO:0001503,C0029433
GO:0018991,C0029957
GO:0030728,C0029965
GO:0007566,C0029976
GO:0055114,C0030012
GO:0006119,C0030013
GO:0019954,C0030596
GO:0042712,C0030653
GO:0043084,C0030847
GO:0006098,C0030892
GO:0030432,C0031133
GO:0006909,C0031308
GO:0032010,C0031309
GO:0045335,C0031310
GO:0016310,C0031715
GO:0019684,C0031751
GO:0009777,C0031755
GO:0015979,C0031764
GO:0008150,C0031845
GO:0043473,C0031911
GO:0009289,C0031921
GO:0097195,C0031924
GO:0006907,C0031945
GO:0001890,C0032058
GO:0030168,C0032173
GO:0070527,C0032176
GO:0003910,C0032549
GO:0003911,C0032549
GO:0005844,C0032592
GO:0002120,C0032942
GO:0007565,C0032961
GO:0060208,C0033274
GO:0032359,C0033461
GO:0098689,C0033462
GO:0051324,C0033464
GO:0019230,C0033499
GO:0005515,C0033618
GO:0030164,C0033627
GO:0043687,C0033666
GO:0016485,C0033666
GO:0005622,C0033731
GO:0044464,C0033731
GO:0031143,C0033827
GO:0003006,C0034011
GO:0033268,C0034667
GO:0005768,C0034850
GO:0006310,C0034865
GO:0031099,C0034963
GO:0000003,C0035150
GO:0019954,C0035152
GO:0019098,C0035154
GO:0001171,C0035380
GO:0005840,C0035553
GO:0008380,C0035687
GO:0046541,C0036104
GO:0042383,C0036208
GO:0030017,C0036225
GO:0016529,C0036226
GO:0007600,C0036658
GO:0001739,C0036867
GO:0001740,C0036867
GO:0000803,C0036869
GO:0007548,C0036874
GO:0007165,C0037083
GO:0030431,C0037313
GO:0007608,C0037361
GO:0035176,C0037397
GO:0009432,C0037703
GO:0048240,C0037841
GO:0061827,C0037844
GO:0030317,C0037848
GO:0097722,C0037848
GO:0036126,C0037851
GO:0097729,C0037851
GO:0007283,C0037864
GO:0001964,C0038186
GO:0036268,C0039003
GO:0044403,C0039029
GO:0045202,C0039062
GO:0097060,C0039063
GO:0008021,C0039065
GO:0000795,C0039066
GO:0019717,C0039067
GO:0050909,C0039336
GO:0050912,C0039336
GO:0007607,C0039336
GO:0051326,C0039465
GO:0050955,C0039478
GO:0034505,C0040432
GO:2000144,C0040624
GO:0006351,C0040649
GO:0060073,C0042034
GO:0070471,C0042130
GO:0005773,C0042219
GO:0042310,C0042396
GO:0042311,C0042401
GO:0019012,C0042760
GO:0009405,C0042765
GO:0016032,C0042765
GO:0009406,C0042765
GO:0019046,C0042767
GO:0016032,C0042769
GO:0008166,C0042774
GO:0019058,C0042774
GO:0019079,C0042774
GO:0007601,C0042789
GO:0035805,C0042894
GO:0007296,C0042895
GO:0042060,C0043240
GO:0000805,C0043292
GO:0009048,C0043297
GO:0000806,C0043381
GO:0035805,C0043519
GO:0030112,C0061622
GO:0044838,C0079394
GO:0051318,C0079395
GO:0051319,C0079396
GO:0000085,C0079396
GO:0006280,C0079866
GO:0051320,C0080129
GO:0043005,C0085103
GO:0000781,C0085187
GO:0005696,C0085187
GO:0097413,C0085200
GO:0046849,C0085268
GO:0007163,C0085304
GO:0045730,C0085416
GO:0045728,C0085416
GO:0005604,C0085872
GO:0075713,C0086474
GO:0006371,C0086934
GO:0000373,C0086934
GO:0000398,C0086934
GO:0000374,C0086934
GO:0000394,C0086934
GO:0000372,C0086934
GO:0044672,C0108413
GO:0030089,C0136979
GO:0006950,C0149784
GO:0008218,C0162404
GO:0015292,C0162584
GO:0015984,C0162584
GO:0006811,C0162585
GO:0006915,C0162638
GO:0097194,C0162638
GO:0012501,C0162638
GO:0018343,C0162760
GO:0006503,C0162760
GO:0018344,C0162761
GO:0006504,C0162761
GO:0097354,C0162765
GO:0018342,C0162766
GO:0006502,C0162766
GO:0005681,C0162771
GO:0009451,C0162782
GO:0006457,C0162847
GO:0005622,C0175996
GO:0031526,C0178523
GO:1904659,C0178666
GO:0009888,C0178679
GO:0097413,C0205708
GO:0009542,C0205715
GO:0045190,C0206071
GO:0005921,C0206117
GO:0043195,C0206181
GO:0060291,C0206249
GO:0019882,C0206431
GO:0009509,C0206523
GO:0009536,C0206524
GO:0009058,C0220781
GO:0007588,C0221102
GO:0002574,C0221145
GO:0046959,C0221711
GO:0043203,C0228079
GO:1990623,C0229546
GO:0070090,C0230532
GO:0005641,C0230540
GO:0035061,C0230547
GO:0016604,C0230595
GO:1990251,C0230595
GO:0033620,C0230595
GO:0005922,C0230609
GO:0005915,C0230613
GO:0030056,C0230616
GO:0005918,C0230624
GO:0042995,C0230625
GO:0032420,C0230626
GO:0030027,C0230628
GO:0001931,C0230629
GO:0098846,C0230636
GO:0046691,C0230646
GO:0046581,C0230647
GO:0005901,C0230653
GO:0042588,C0230681
GO:0042599,C0230698
GO:0005811,C0230704
GO:0031672,C0230715
GO:0031674,C0230716
GO:0031673,C0230717
GO:0031430,C0230718
GO:0030018,C0230719
GO:0000922,C0230739
GO:0120098,C0230742
GO:0034451,C0230743
GO:0097727,C0230744
GO:0005930,C0230750
GO:0000139,C0230764
GO:0005795,C0230765
GO:0031985,C0230765
GO:0005798,C0230767
GO:0005789,C0230770
GO:0005791,C0230779
GO:0005790,C0230789
GO:0030868,C0230790
GO:0005642,C0230801
GO:0005765,C0230812
GO:0005766,C0230814
GO:0005767,C0230815
GO:0044754,C0230822
GO:0005771,C0230825
GO:0097487,C0230827
GO:0031903,C0230832
GO:0005741,C0230839
GO:0005743,C0230840
GO:0030061,C0230844
GO:0000266,C0230871
GO:0020023,C0230872
GO:0071953,C0230899
GO:0046868,C0230936
GO:0035264,C0231256
GO:0001957,C0231564
GO:0061337,C0232217
GO:0042640,C0232407
GO:0001696,C0232552
GO:0035482,C0232572
GO:0120060,C0232585
GO:0036147,C0232604
GO:0032782,C0232757
GO:0003094,C0232809
GO:0007286,C0232976
GO:0007271,C0234097
GO:0001963,C0234101
GO:0060013,C0234156
GO:0019233,C0234194
GO:0090660,C0234557
GO:0016037,C0234682
GO:0014896,C0236033
GO:0048513,C0242290
GO:0070160,C0242358
GO:0005923,C0242358
GO:0042119,C0242599
GO:0005815,C0242607
GO:0005813,C0242608
GO:0000776,C0242609
GO:0043292,C0242697
GO:0030484,C0242697
GO:0009630,C0242731
GO:0009606,C0242732
GO:0009638,C0242734
GO:0009844,C0242735
GO:0030135,C0242915
GO:0003824,C0243102
GO:0007369,C0259902
GO:0019748,C0260000
GO:0009514,C0260080
GO:0050904,C0277921
GO:0033638,C0282498
GO:0009408,C0282498
GO:0002385,C0282557
GO:0006452,C0282572
GO:0019068,C0282629
GO:0045333,C0282636
GO:0009060,C0282636
GO:0006955,C0301872
GO:0097531,C0302125
GO:0001525,C0302600
GO:0005975,C0302820
GO:0046879,C0312431
GO:1990266,C0312860
GO:0030593,C0312861
GO:0048247,C0312862
GO:0003809,C0332237
GO:0030263,C0333904
GO:0001553,C0334024
GO:0036074,C0334040
GO:0006486,C0376322
GO:0030908,C0376437
GO:0007602,C0376451
GO:0006306,C0376452
GO:0031052,C0376628
GO:0006309,C0376669
GO:0007616,C0423909
GO:0004743,C0427509
GO:0008800,C0427970
GO:0060372,C0429098
GO:0098914,C0429098
GO:0098913,C0429098
GO:0060373,C0429098
GO:0098915,C0429104
GO:0060307,C0429104
GO:0060004,C0439840
GO:0022414,C0442692
GO:0034360,C0443616
GO:0097611,C0453903
GO:0007632,C0474331
GO:0005627,C0521060
GO:0005576,C0521119
GO:0097407,C0521179
GO:0006289,C0524550
GO:0006291,C0524550
GO:0044300,C0524663
GO:0097457,C0524817
GO:0042597,C0525009
GO:0035425,C0525010
GO:0038001,C0525011
GO:0014732,C0541794
GO:0003009,C0541840
GO:0050896,C0542478
GO:0008542,C0582587
GO:0005927,C0584646
GO:0008652,C0596074
GO:0006520,C0596076
GO:0006865,C0596078
GO:0030849,C0596142
GO:0051209,C0596233
GO:0016051,C0596247
GO:0008643,C0596250
GO:0015977,C0596252
GO:0015670,C0596254
GO:0001558,C0596286
GO:0008283,C0596290
GO:0051305,C0596336
GO:0061448,C0596374
GO:0030431,C0596433
GO:0006690,C0596480
GO:0006633,C0596562
GO:0006631,C0596563
GO:0015908,C0596564
GO:0006006,C0596620
GO:0005980,C0596624
GO:0006487,C0596625
GO:0030426,C0596632
GO:0042446,C0596715
GO:0042445,C0596716
GO:1902600,C0596735
GO:0019042,C0596824
GO:0019043,C0596824
GO:0060612,C0596843
GO:0045444,C0596843
GO:0006869,C0596846
GO:0046651,C0596873
GO:0044091,C0596898
GO:0016020,C0596901
GO:0031966,C0596952
GO:0042552,C0596991
GO:0048740,C0596997
GO:0042692,C0596997
GO:0007519,C0596997
GO:0042136,C0597062
GO:0042133,C0597063
GO:0006836,C0597064
GO:0009117,C0597108
GO:0035640,C0597131
GO:0002394,C0597140
GO:0015671,C0597157
GO:0020039,C0597190
GO:0006793,C0597223
GO:0010117,C0597230
GO:0009521,C0597234
GO:0006779,C0597271
GO:0006778,C0597272
GO:0006412,C0597295
GO:0019538,C0597299
GO:0006508,C0597304
GO:0005102,C0597358
GO:0006898,C0597361
GO:0001510,C0597415
GO:0006694,C0597513
GO:0008202,C0597520
GO:0051923,C0597538
GO:0007416,C0597545
GO:0009404,C0597595
GO:0045056,C0597601
GO:0000050,C0597619
GO:1990029,C0597640
GO:0007603,C0597663
GO:0009110,C0597669
GO:0006766,C0597672
GO:0008104,C0597704
GO:0005816,C0597729
GO:0035188,C0598016
GO:0051216,C0598067
GO:0051337,C0598083
GO:0043697,C0598087
GO:0030313,C0598099
GO:0007059,C0598175
GO:0043265,C0598267
GO:0007399,C0598282
GO:0006260,C0598312
GO:0016458,C0598496
GO:0007129,C0598501
GO:0050658,C0598720
GO:0070661,C0598773
GO:0006629,C0598783
GO:0071709,C0598838
GO:0070988,C0598864
GO:1990832,C0598956
GO:0043526,C0598958
GO:0001504,C0598962
GO:0098810,C0598962
GO:0007269,C0598964
GO:0015977,C0599130
GO:0009522,C0599131
GO:0009523,C0599132
GO:0006783,C0599175
GO:0006370,C0599176
GO:0031623,C0599281
GO:0001881,C0599282
GO:0045187,C0599428
GO:0043025,C0599444
GO:0043204,C0599444
GO:0006695,C0599474
GO:0085030,C0599514
GO:0060005,C0599607
GO:0001906,C0599733
GO:0005977,C0599784
GO:0046907,C0599814
GO:0071806,C0599893
GO:0015031,C0599895
GO:0019048,C0599952
GO:0030175,C0600315
GO:0019722,C0600431
GO:0003676,C0600436
GO:0007340,C0600485
GO:0042716,C0600496
GO:0033093,C0600532
GO:0070505,C0659293
GO:0044403,C0677482
GO:0065007,C0678661
GO:0030431,C0678686
GO:0006067,C0678701
GO:0045733,C0678705
GO:0006115,C0678710
GO:0008206,C0678714
GO:0032502,C0678723
GO:0008144,C0678749
GO:0008037,C0678836
GO:0006839,C0678851
GO:0008217,C0678863
GO:0097254,C0678876
GO:0050886,C0678896
GO:0016048,C0679032
GO:0098597,C0679081
GO:0005654,C0682537
GO:0016528,C0682566
GO:0097458,C0682678
GO:0043083,C0682685
GO:0017144,C0683140
GO:0006259,C0683142
GO:0016070,C0683143
GO:0000755,C0683145
GO:0007338,C0683145
GO:0042493,C0683154
GO:0050906,C0683184
GO:0006277,C0683230
GO:0014704,C0684215
GO:0007631,C0684271
GO:0009986,C0699040
GO:0009405,C0699748
GO:0009056,C0699900
GO:0044427,C0729606
GO:0042651,C0751960
GO:0009579,C0751961
GO:0015030,C0751972
GO:0005777,C0752063
GO:0001527,C0752265
GO:0000165,C0752319
GO:0000267,C0805525
GO:0022008,C0814002
GO:0031100,C0815081
GO:0048468,C0815089
GO:1990708,C0815102
GO:0001661,C0815105
GO:0044419,C0870742
GO:0060134,C0871125
GO:0019953,C0871354
GO:0006913,C0872070
GO:0043276,C0872097
GO:0040016,C0872161
GO:0043197,C0872341
GO:0097503,C0872366
GO:0030141,C0886515
GO:0030133,C0886515
GO:0005803,C0886515
GO:0099503,C0886515
GO:0005802,C0887838
GO:0051170,C0887839
GO:0051168,C0887840
GO:0098857,C0887868
GO:0030055,C0887869
GO:0007160,C0887869
GO:0005925,C0887870
GO:0005912,C0887872
GO:0031253,C0887879
GO:0030133,C0887882
GO:0005769,C0887883
GO:0005810,C0887883
GO:0030139,C0887883
GO:0031410,C0887884
GO:0030136,C0887885
GO:1990149,C0887887
GO:0048205,C0887887
GO:0030126,C0887887
GO:0030137,C0887887
GO:0005799,C0887887
GO:0030134,C0887888
GO:0001725,C0887904
GO:0000001,C0887941
GO:0031045,C0887944
GO:0020015,C0887959
GO:0009505,C0918262
GO:0007413,C0920344
GO:0006206,C0920641
GO:0006220,C0920641
GO:0006213,C0920641
GO:0036292,C0920681
GO:0044420,C0932050
GO:0007517,C0949649
GO:0031123,C0949764
GO:0043631,C0949765
GO:0044849,C0950151
GO:0031375,C0961047
GO:0098868,C0971859
GO:0001570,C1123009
GO:0009506,C1135842
GO:0030485,C1135918
GO:0097225,C1135945
GO:0016246,C1136031
GO:0016441,C1136031
GO:0005652,C1136039
GO:0060292,C1136140
GO:0009614,C1136180
GO:0090406,C1136227
GO:0003673,C1138831
GO:0006066,C1145676
GO:0016088,C1145751
GO:0003674,C1148560
GO:0050819,C1148561
GO:0008435,C1148561
GO:0050826,C1148562
GO:0050825,C1148562
GO:0042309,C1148562
GO:0071497,C1148562
GO:0016172,C1148562
GO:0050826,C1148563
GO:0042309,C1148563
GO:0071497,C1148563
GO:0016173,C1148563
GO:0050825,C1148563
GO:0016209,C1148564
GO:0045174,C1148565
GO:0004362,C1148566
GO:0004791,C1148567
GO:0042981,C1148568
GO:0016329,C1148568
GO:0016506,C1148569
GO:0006915,C1148569
GO:0016505,C1148570
GO:0008189,C1148571
GO:0043066,C1148571
GO:0016597,C1148572
GO:0016595,C1148573
GO:0016594,C1148574
GO:0003823,C1148575
GO:0015643,C1148576
GO:0015644,C1148577
GO:0015643,C1148577
GO:0003823,C1148578
GO:0008229,C1148578
GO:0046714,C1148579
GO:0005509,C1148580
GO:0051208,C1148581
GO:0005514,C1148581
GO:0005509,C1148581
GO:0030246,C1148582
GO:0030247,C1148583
GO:0030248,C1148584
GO:0008061,C1148585
GO:0005534,C1148587
GO:0005531,C1148588
GO:0005534,C1148588
GO:0016936,C1148589
GO:0005536,C1148590
GO:0030395,C1148591
GO:0005530,C1148592
GO:0001577,C1148593
GO:0005532,C1148594
GO:0005537,C1148594
GO:0005533,C1148595
GO:0046871,C1148595
GO:0005537,C1148596
GO:0016168,C1148597
GO:0042314,C1148598
GO:0016169,C1148599
GO:0019811,C1148600
GO:0016018,C1148601
GO:0005527,C1148602
GO:0005528,C1148603
GO:0030051,C1148604
GO:0003755,C1148604
GO:0005528,C1148604
GO:0008145,C1148605
GO:0016596,C1148606
GO:0005539,C1148607
GO:0008201,C1148608
GO:1904399,C1148608
GO:0005540,C1148609
GO:0005505,C1148610
GO:0046872,C1148610
GO:0005507,C1148611
GO:0046870,C1148612
GO:0005508,C1148612
GO:0005507,C1148612
GO:0005506,C1148613
GO:0008199,C1148614
GO:0008198,C1148615
GO:0020037,C1148616
GO:0030145,C1148617
GO:0045340,C1148618
GO:0030151,C1148619
GO:0016151,C1148620
GO:0008270,C1148621
GO:0042562,C1148622
GO:0005497,C1148623
GO:0006717,C1148624
GO:0005500,C1148624
GO:0017046,C1148625
GO:0046810,C1148627
GO:0046812,C1148628
GO:0046789,C1148629
GO:0019840,C1148630
GO:0005501,C1148631
GO:0016918,C1148632
GO:0005502,C1148633
GO:0005503,C1148634
GO:0019841,C1148635
GO:0006630,C1148636
GO:0008289,C1148636
GO:0000062,C1148637
GO:0005541,C1148637
GO:0000035,C1148637
GO:0000036,C1148638
GO:0019992,C1148640
GO:0005504,C1148641
GO:0005543,C1148642
GO:0005544,C1148643
GO:0008429,C1148644
GO:0035091,C1148645
GO:0008526,C1148646
GO:0005546,C1148648
GO:0005548,C1148649
GO:0015247,C1148650
GO:0140326,C1148651
GO:0017128,C1148653
GO:0046625,C1148654
GO:0046624,C1148655
GO:0046623,C1148656
GO:0017129,C1148657
GO:0001530,C1148658
GO:0000287,C1148659
GO:0042165,C1148660
GO:0042166,C1148661
GO:0015464,C1148662
GO:0016907,C1148663
GO:0022848,C1148665
GO:0017164,C1148666
GO:0030594,C1148667
GO:0016917,C1148668
GO:0004890,C1148669
GO:0008503,C1148670
GO:0004965,C1148671
GO:0003676,C1148672
GO:0003677,C1148673
GO:0003680,C1148674
GO:0006328,C1148674
GO:0006326,C1148675
GO:0003681,C1148675
GO:0019237,C1148676
GO:0007002,C1148676
GO:0003682,C1148677
GO:0003682,C1148678
GO:0003683,C1148678
GO:0005521,C1148678
GO:0003684,C1148679
GO:0003904,C1148680
GO:0019104,C1148681
GO:0003905,C1148682
GO:0008725,C1148683
GO:0000700,C1148684
GO:0000701,C1148685
GO:0008263,C1148686
GO:0000702,C1148687
GO:0008534,C1148688
GO:0140080,C1148689
GO:0000703,C1148689
GO:0000704,C1148690
GO:0004844,C1148691
GO:0017065,C1148692
GO:0003906,C1148693
GO:0009381,C1148694
GO:0003908,C1148695
GO:0046403,C1148696
GO:0004536,C1148698
GO:0004536,C1148699
GO:0004520,C1148700
GO:0016888,C1148701
GO:0004530,C1148702
GO:0008833,C1148703
GO:0009035,C1148704
GO:0009036,C1148705
GO:0015668,C1148706
GO:0016889,C1148707
GO:0008821,C1148708
GO:0004531,C1148709
GO:0004521,C1148711
GO:0004520,C1148711
GO:0019000,C1148711
GO:0017108,C1148712
GO:0015666,C1148713
GO:0000014,C1148714
GO:0016890,C1148715
GO:0004529,C1148716
GO:0016895,C1148717
GO:0008296,C1148718
GO:0008311,C1148719
GO:0008310,C1148720
GO:0008309,C1148721
GO:0008852,C1148722
GO:0008853,C1148723
GO:0008854,C1148724
GO:0008855,C1148725
GO:0008856,C1148726
GO:0016895,C1148727
GO:0008946,C1148728
GO:0008997,C1148729
GO:0008297,C1148730
GO:0045145,C1148731
