CUI,HGNC ID
C0008288,HGNC:20365
C0017351,HGNC:5477
C0026574,HGNC:7199
C0026900,HGNC:7545
C0035018,HGNC:9954
C0079414,HGNC:2701
C0079419,HGNC:11998
C0079471,HGNC:5173
C0080298,HGNC:11283
C0085113,HGNC:7765
C0085114,HGNC:7773
C0085218,HGNC:9831
C0086661,HGNC:7553
C0087140,HGNC:3796
C0144382,HGNC:26640
C0162508,HGNC:6204
C0162804,HGNC:6935
C0162832,HGNC:583
C0242957,HGNC:3430
C0242987,HGNC:11796
C0242988,HGNC:11799
C0249197,HGNC:1784
C0314619,HGNC:5853
C0376515,HGNC:990
C0376571,HGNC:1100
C0376622,HGNC:40
C0380093,HGNC:6642
C0473780,HGNC:15
C0524890,HGNC:12027
C0524891,HGNC:12155
C0524892,HGNC:12271
C0524893,HGNC:12252
C0525037,HGNC:1787
C0537026,HGNC:12530
C0596123,HGNC:348
C0598034,HGNC:1101
C0599295,HGNC:3446
C0677907,HGNC:6801
C0694872,HGNC:1748
C0694873,HGNC:1773
C0694878,HGNC:3512
C0694879,HGNC:3513
C0694883,HGNC:11389
C0694884,HGNC:7010
C0694888,HGNC:9588
C0694889,HGNC:9884
C0694890,HGNC:9967
C0694891,HGNC:6770
C0694894,HGNC:12362
C0694895,HGNC:12363
C0694897,HGNC:12687
C0694898,HGNC:12796
C0694899,HGNC:12797
C0751995,HGNC:8800
C0796355,HGNC:11556
C0796518,HGNC:7646
C0796520,HGNC:3495
C0808900,HGNC:3749
C0808901,HGNC:3508
C0809183,HGNC:1788
C0809246,HGNC:7989
C0812198,HGNC:959
C0812201,HGNC:3488
C0812202,HGNC:3489
C0812204,HGNC:7849
C0812211,HGNC:6940
C0812214,HGNC:8986
C0812215,HGNC:9829
C0812222,HGNC:6973
C0812223,HGNC:7884
C0812224,HGNC:3277
C0812228,HGNC:391
C0812229,HGNC:12784
C0812230,HGNC:392
C0812231,HGNC:12780
C0812233,HGNC:12774
C0812234,HGNC:667
C0812235,HGNC:668
C0812236,HGNC:669
C0812237,HGNC:905
C0812238,HGNC:998
C0812239,HGNC:12658
C0812241,HGNC:1097
C0812242,HGNC:1541
C0812244,HGNC:12003
C0812245,HGNC:12000
C0812246,HGNC:11892
C0812248,HGNC:11805
C0812250,HGNC:1928
C0812252,HGNC:2362
C0812253,HGNC:2363
C0812257,HGNC:2747
C0812258,HGNC:3113
C0812260,HGNC:7671
C0812261,HGNC:3338
C0812262,HGNC:3385
C0812263,HGNC:3387
C0812264,HGNC:7977
C0812265,HGNC:3431
C0812266,HGNC:11466
C0812267,HGNC:3432
C0812268,HGNC:11469
C0812269,HGNC:11470
C0812270,HGNC:3492
C0812271,HGNC:3498
C0812273,HGNC:11103
C0812278,HGNC:3595
C0812281,HGNC:10261
C0812283,HGNC:9840
C0812284,HGNC:9839
C0812285,HGNC:9709
C0812286,HGNC:7795
C0812287,HGNC:7559
C0812288,HGNC:3655
C0812289,HGNC:7555
C0812290,HGNC:3681
C0812291,HGNC:7548
C0812292,HGNC:7547
C0812295,HGNC:7217
C0812296,HGNC:3684
C0812297,HGNC:3811
C0812298,HGNC:3763
C0812299,HGNC:13718
C0812300,HGNC:6781
C0812302,HGNC:3798
C0812303,HGNC:4037
C0812304,HGNC:4317
C0812305,HGNC:11529
C0812306,HGNC:4318
C0812307,HGNC:6735
C0812308,HGNC:6709
C0812309,HGNC:6711
C0812310,HGNC:4603
C0812311,HGNC:4604
C0812312,HGNC:6206
C0812313,HGNC:6205
C0812314,HGNC:6119
C0812317,HGNC:4840
C0812372,HGNC:6899
C0812375,HGNC:3325
C0812376,HGNC:11350
C0812377,HGNC:11244
C0812379,HGNC:10896
C0812381,HGNC:77
C0812382,HGNC:4319
C0812384,HGNC:3333
C0812385,HGNC:1014
C0812443,HGNC:11795
C0812444,HGNC:6210
C0812445,HGNC:4602
C0812446,HGNC:3321
C0812448,HGNC:7833
C0879290,HGNC:7325
C0879389,HGNC:7127
C0879390,HGNC:9121
C0879391,HGNC:9122
C0879392,HGNC:7326
C0879393,HGNC:7329
C0879468,HGNC:2433
C0879590,HGNC:6001
C0919425,HGNC:2595
C0919426,HGNC:2631
C0919427,HGNC:7436
C0919428,HGNC:2874
C0919429,HGNC:11285
C0919430,HGNC:12679
C0919432,HGNC:6769
C0919441,HGNC:7885
C0919442,HGNC:7650
C0919445,HGNC:8949
C0919451,HGNC:4638
C0919455,HGNC:10446
C0919457,HGNC:3701
C0919458,HGNC:51
C0919466,HGNC:3682
C0919477,HGNC:6524
C0919478,HGNC:3697
C0919479,HGNC:12841
C0919481,HGNC:6776
C0919487,HGNC:8031
C0919490,HGNC:11241
C0919496,HGNC:11742
C0919506,HGNC:3676
C0919507,HGNC:3685
C0919508,HGNC:3683
C0919509,HGNC:3688
C0919516,HGNC:6913
C0919521,HGNC:9690
C0919524,HGNC:795
C0919528,HGNC:7132
C0919534,HGNC:4632
C0919538,HGNC:11773
C0919550,HGNC:8568
C0920268,HGNC:11853
C0920270,HGNC:5056
C0920274,HGNC:11530
C0920288,HGNC:6342
C0963396,HGNC:19049
C0964742,HGNC:15981
C1134446,HGNC:3401
C1135159,HGNC:2228
C1176140,HGNC:2637
C1321914,HGNC:9108
C1325331,HGNC:6021
C1327771,HGNC:30077
C1328053,HGNC:7876
C1332001,HGNC:47
C1332002,HGNC:74
C1332005,HGNC:24011
C1332008,HGNC:17195
C1332009,HGNC:738
C1332010,HGNC:145
C1332011,HGNC:172
C1332012,HGNC:171
C1332013,HGNC:174
C1332015,HGNC:189
C1332017,HGNC:193
C1332018,HGNC:217
C1332020,HGNC:13202
C1332025,HGNC:240
C1332026,HGNC:277
C1332027,HGNC:278
C1332028,HGNC:281
C1332029,HGNC:282
C1332030,HGNC:290
C1332034,HGNC:328
C1332036,HGNC:338
C1332065,HGNC:357
C1332070,HGNC:370
C1332071,HGNC:371
C1332072,HGNC:379
C1332073,HGNC:389
C1332074,HGNC:393
C1332075,HGNC:400
C1332076,HGNC:15472
C1332077,HGNC:30727
C1332080,HGNC:427
C1332082,HGNC:433
C1332083,HGNC:463
C1332084,HGNC:465
C1332086,HGNC:471
C1332088,HGNC:484
C1332089,HGNC:485
C1332090,HGNC:16677
C1332091,HGNC:16675
C1332093,HGNC:16676
C1332095,HGNC:543
C1332096,HGNC:546
C1332098,HGNC:576
C1332100,HGNC:24036
C1332101,HGNC:586
