HPO,CUI
HP:0032155,C0000729
HP:0003270,C0000731
HP:0031500,C0000734
HP:0002027,C0000737
HP:0008181,C0000744
HP:0032224,C0000778
HP:0005268,C0000786
HP:0030449,C0000820
HP:0011419,C0000832
HP:0025615,C0000833
HP:0100792,C0000887
HP:0000956,C0000889
HP:0032448,C0001075
HP:0004360,C0001118
HP:0001941,C0001122
HP:0003128,C0001125
HP:0001947,C0001126
HP:0005972,C0001127
HP:0032250,C0001139
HP:0200016,C0001202
HP:0000845,C0001206
HP:0001735,C0001339
HP:0008207,C0001403
HP:0031458,C0001427
HP:0100641,C0001618
HP:0000834,C0001621
HP:0000846,C0001623
HP:0100631,C0001624
HP:0008258,C0001627
HP:0004432,C0001768
HP:0000718,C0001807
HP:0006919,C0001807
HP:0010524,C0001816
HP:0000756,C0001818
HP:0012234,C0001824
HP:0031009,C0001860
HP:0012672,C0001889
HP:0001022,C0001916
HP:0012592,C0001925
HP:0030955,C0001973
HP:0010523,C0002018
HP:0031433,C0002020
HP:0001948,C0002063
HP:0001950,C0002064
HP:0001596,C0002170
HP:0002293,C0002170
HP:0002229,C0002171
HP:0006308,C0002382
HP:0006516,C0002390
HP:0002511,C0002395
HP:0000646,C0002418
HP:0009827,C0002447
HP:0000705,C0002452
HP:0000141,C0002453
HP:0008335,C0002534
HP:0011034,C0002726
HP:0007354,C0002736
HP:0100845,C0002792
HP:0001903,C0002871
HP:0001915,C0002874
HP:0004810,C0002876
HP:0001878,C0002878
HP:0001890,C0002880
HP:0004804,C0002881
HP:0001931,C0002884
HP:0001972,C0002886
HP:0001889,C0002888
HP:0005505,C0002893
HP:0001924,C0002896
HP:0002323,C0002902
HP:0002617,C0002940
HP:0005294,C0002949
HP:0001681,C0002962
HP:0001102,C0002982
HP:0001014,C0002985
HP:0001071,C0002986
HP:0100665,C0002994
HP:0000970,C0003028
HP:0000526,C0003076
HP:0009916,C0003079
HP:0012803,C0003081
HP:0031013,C0003090
HP:0030784,C0003113
HP:0000528,C0003119
HP:0002039,C0003123
HP:0000458,C0003126
HP:0100519,C0003460
HP:0032186,C0003463
HP:0002023,C0003466
HP:0000739,C0003467
HP:0004942,C0003486
HP:0001680,C0003492
HP:0031649,C0003496
HP:0004381,C0003499
HP:0001659,C0003504
HP:0025578,C0003505
HP:0001650,C0003507
HP:0011604,C0003516
HP:0002381,C0003537
HP:0002427,C0003550
HP:0001686,C0003564
HP:0002104,C0003578
HP:0002186,C0003635
HP:0040192,C0003650
HP:0001166,C0003706
HP:0001519,C0003706
HP:0001084,C0003742
HP:0002308,C0003803
HP:0011675,C0003811
HP:0004950,C0003838
HP:0002634,C0003850
HP:0004947,C0003855
HP:0100026,C0003857
HP:0012089,C0003860
HP:0002829,C0003862
HP:0001369,C0003864
HP:0001997,C0003868
HP:0003095,C0003869
HP:0001370,C0003873
HP:0002804,C0003886
HP:0002821,C0003892
HP:0001541,C0003962
HP:0030995,C0003964
HP:0100510,C0003969
HP:0012768,C0004045
HP:0025406,C0004093
HP:0031590,C0004095
HP:0002099,C0004096
HP:0012652,C0004099
HP:0000483,C0004106
HP:0009592,C0004114
HP:0010867,C0004134
HP:0100750,C0004144
HP:0002621,C0004153
HP:0002635,C0004153
HP:0002305,C0004158
HP:0005110,C0004238
HP:0004749,C0004239
HP:0001678,C0004245
HP:0011709,C0004331
HP:0000717,C0004352
HP:0002960,C0004364
HP:0002960,C0004368
HP:0000027,C0004509
HP:0003418,C0004604
HP:0031864,C0004610
HP:0012461,C0004659
HP:0100580,C0004763
HP:0000708,C0004941
HP:0030156,C0004968
