HGNC ID	Approved symbol	Alias symbols	UniProt ID(supplied by UniProt)	OMIM ID(supplied by OMIM)	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)
HGNC:1	A12M1					
HGNC:10	A2MRAP					
HGNC:100	ASIC1	BNaC2, hBNaC2	P78348	602866	41	ENSG00000110881
HGNC:1000	BCL5					
HGNC:10000	RGS4		P49798	602516	5999	ENSG00000117152
HGNC:10001	RGS5		O15539	603276	8490	ENSG00000143248
HGNC:10002	RGS6		P49758	603894	9628	ENSG00000182732
HGNC:10003	RGS7		P49802	602517	6000	ENSG00000182901
HGNC:10004	RGS9	PERRS, RGS9L, MGC26458, MGC111763	O75916	604067	8787	ENSG00000108370
HGNC:10005	RH					
HGNC:10006	RHAG	RH50A, CD241, SLC42A1	Q02094	180297	6005	ENSG00000112077
HGNC:10007	RHBDL1	RRP	O75783	603264	9028	ENSG00000103269
HGNC:10008	RHCE	CD240CE	P18577	111700	6006	ENSG00000188672
HGNC:10009	RHD	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D	Q02161	111680	6007	ENSG00000187010
HGNC:1001	BCL6	ZBTB27, LAZ3, BCL5, BCL6A	P41182	109565	604	ENSG00000113916
HGNC:10010	RHEBP1	RHEB			6008	ENSG00000229927
HGNC:10011	RHEB		Q15382	601293	6009	ENSG00000106615
HGNC:10012	RHO	OPN2, CSNBAD1	P08100	180380	6010	ENSG00000163914
HGNC:10013	GRK1	GPRK1, RK	Q15835	180381	6011	ENSG00000185974
HGNC:10014	RIEG1					
HGNC:10015	RIEG2	ARS				
HGNC:10016	RIMKLP					
HGNC:10017	RIT2	RIBA	Q99578	609592	6014	ENSG00000152214
HGNC:10018	RING1	RNF1	Q06587	602045	6015	ENSG00000204227
HGNC:10019	RIPK1	RIP	Q13546	603453	8737	ENSG00000137275
HGNC:1002	BCL6B	ZBTB28, BAZF	Q8N143	608992	255877	ENSG00000161940
HGNC:10020	RIPK2	RICK, RIP2, CARDIAK, CARD3	O43353	603455	8767	ENSG00000104312
HGNC:10021	RIPK3	RIP3	Q9Y572	605817	11035	ENSG00000129465
HGNC:10022	RIR					
HGNC:10023	RIT1	RIBB, ROC1, MGC125864, MGC125865	Q92963	609591	6016	ENSG00000143622
HGNC:10024	RLBP1	CRALBP	P12271	180090	6017	ENSG00000140522
HGNC:10025	RLF	ZNF292L, Zn-15L	Q13129	180610	6018	ENSG00000117000
HGNC:10026	RLN1	H1	P04808	179730	6013	ENSG00000107018
HGNC:10027	RLN2	H2, RLXH2, bA12D24.1.1, bA12D24.1.2	P04090	179740	6019	ENSG00000107014
HGNC:10028	RLNL					
HGNC:10029	RMCH					
HGNC:1003	BCL7					
HGNC:10030	RMD1					
HGNC:10031	RMRP	RMRPR, RRP2, NME1		157660	6023	
HGNC:10032	RMSA1					
HGNC:10033	RN5S					
HGNC:10034	RN5S1@					
HGNC:10035	RN5S2@					
HGNC:10036	RN5S3@					
HGNC:10037	RN7SK	7SK		606515	125050	ENSG00000283293
HGNC:10038	RN7SL1	7SL, 7L1a, RNSRP1		612177	6029	ENSG00000276168
HGNC:10039	RN7SL4P	7L28			6030	ENSG00000263740
HGNC:1004	BCL7A		Q4VC05	601406	605	ENSG00000110987
HGNC:10040	RN7SL5P	7LEM1			6031	ENSG00000265735
HGNC:10041	RN7SL6P	7L7			6032	
HGNC:10042	RN7SL7P	7L23			6033	ENSG00000266794
HGNC:10043	RN7SL8P	7L63			6034	ENSG00000243352
HGNC:10044	RNASE1	RAC1	P07998	180440	6035	ENSG00000129538
HGNC:10045	RNASE2	EDN, RAF3	P10153	131410	6036	ENSG00000169385
HGNC:10046	RNASE3	ECP, RAF1	P12724	131398	6037	ENSG00000169397
HGNC:10047	RNASE4	RAB1	P34096	601030	6038	ENSG00000258818
HGNC:10048	RNASE6	RAD1, RNaseK6	Q93091	601981	6039	ENSG00000169413
HGNC:10049	RNASEH1P1	RNH1			284203	ENSG00000265790
HGNC:1005	BCL7B		Q9BQE9	605846	9275	ENSG00000106635
HGNC:10050	RNASEL		Q05823	180435	6041	ENSG00000135828
HGNC:10051	RNASEL1					
HGNC:10052	RNE1					
HGNC:10053	RNE2					
HGNC:10054	RNE3					
HGNC:10055	RNF10	KIAA0262, RIE2	Q8N5U6	615998	9921	ENSG00000022840
HGNC:10056	RNF11	CGI-123, Sid1669p, MGC51169	Q9Y3C5	612598	26994	ENSG00000123091
HGNC:10057	RNF13	RZF	O43567	609247	11342	ENSG00000082996
HGNC:10058	RNF14	ARA54, HFB30, TRIAD2	Q9UBS8	605675	9604	ENSG00000013561
HGNC:10059	TRIM38	RORET	O00635		10475	ENSG00000112343
HGNC:1006	BCL7C		Q8WUZ0	605847	9274	ENSG00000099385
HGNC:10060	RNF17	Mmip-2, SPATA23, FLJ11045	Q9BXT8	605793	56163	ENSG00000132972
HGNC:10061	RNF2	BAP-1, BAP1, DING, HIPI3, RING1B, RING2	Q99496	608985	6045	ENSG00000121481
HGNC:10062	RNF20	FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1	Q5VTR2	607699	56254	ENSG00000155827
HGNC:10063	TRIM34		Q9BYJ4	605684	53840	ENSG00000258659
HGNC:10064	TRIM3	HAC1, BERP, RNF97	O75382	605493	10612	ENSG00000110171
HGNC:10065	TRIM39		Q9HCM9	605700	56658	ENSG00000204599
HGNC:10066	PCGF3	FLJ36550, DONG1, RNF3A, MGC40413	Q3KNV8	617543	10336	ENSG00000185619
HGNC:10067	RNF4	RES4-26, SNURF, SLX5	P78317	602850	6047	ENSG00000063978
HGNC:10068	RNF5	NG2, G16, RING5, RMA1	Q99942	602677	6048	ENSG00000204308
HGNC:10069	RNF6	DKFZp686P0776	Q9Y252	604242	6049	ENSG00000127870
HGNC:1007	NBEAP1	BCL8A	P0C6P0	601889	606	ENSG00000258590
HGNC:10070	RNF7	SAG, ROC2, CKBBP1	Q9UBF6	603863	9616	ENSG00000114125
HGNC:10071	RNF8	KIAA0646	O76064	611685	9025	ENSG00000112130
HGNC:10072	TRIM10	RFB30, HERF1	Q9UDY6	605701	10107	ENSG00000204613
HGNC:10073	RNGTT	HCE, HCE1, hCAP	O60942	603512	8732	ENSG00000111880
HGNC:10074	RNH1	RAI	P13489	173320	6050	ENSG00000023191
HGNC:10075	RNMT	RG7MT1	O43148	603514	8731	ENSG00000101654
HGNC:10076	RNN					
HGNC:10077	RNNL					
HGNC:10078	RNPEP	APB	Q9H4A4	602675	6051	ENSG00000176393
HGNC:10079	RNPEPL1		Q9HAU8	605287	57140	ENSG00000142327
HGNC:1008	BCL9		O00512	602597	607	ENSG00000116128
HGNC:10080	RNPS1		Q15287	606447	10921	ENSG00000205937
HGNC:10081	RNPU1Z					
HGNC:10082	RNR1			180450	6052	
HGNC:10083	RNR2			180451	6053	
HGNC:10084	RNR3			180452	6054	
HGNC:10085	RNR4			180453	6055	
HGNC:10086	RNR5			180454	6056	
HGNC:10087	RNRP1					
HGNC:10088	RNRP2					
HGNC:10089	RNS1					
HGNC:1009	BCMA					
HGNC:10090	RNS2					
HGNC:10091	RNS3					
HGNC:10092	RNS4					
HGNC:10093	RNS4I					
HGNC:10094	RNS6					
HGNC:10095	RNU1					
HGNC:10096	SNORD80	Z15, U80			26774	
HGNC:10097	SNORD4A	Z17A, mgh18S-121			26773	ENSG00000238578
HGNC:10098	SNORD4B	Z17B			26772	ENSG00000238597
HGNC:10099	SNORD102	U102			26771	ENSG00000207500
HGNC:101	ASIC3	TNaC1, DRASIC	Q9UHC3	611741	9311	ENSG00000213199
HGNC:1010	BCNG1					
HGNC:10100	SNORD79	Z22, U79			26770	
HGNC:10101	SNORD81	Z23, U81			26769	
HGNC:10102	RNU105A	E1c				
HGNC:10103	RNU105B	E1-2			26767	ENSG00000201348
HGNC:10104	RNU105C	E1-5, E1-6, U105C			26766	ENSG00000199212
HGNC:10105	SNORD12C	U106			26765	ENSG00000209042
HGNC:10106	SNORA63	E3, E3-2, SNORA63A		180647	6043	ENSG00000200320
HGNC:10107	SNORA62	E2, E2-1		180646	6044	ENSG00000202363
HGNC:10108	RNU11	U11, RNU11-1			26824	ENSG00000274978
HGNC:10109	RNU12-2P	U12			26823	ENSG00000201659
HGNC:1011	BCNG2					
HGNC:10110	SNORD13P1	U13, U13.32A			6076	ENSG00000238498
HGNC:10111	SNORD13P2	U13, U13.12A			6077	
HGNC:10112	SNORD13P3	U13, U13.4B			6078	ENSG00000239128
HGNC:10113	SNORD14A	U14, RNU14A			26822	ENSG00000272034
HGNC:10114	SNORD15A	U15A		600455	6079	ENSG00000206941
HGNC:10115	SNORA73A	U17A, E1-7, E1b, E1		180645	6080	ENSG00000274266
HGNC:10116	SNORA73B	U17B, E1c		603239	26768	ENSG00000200087
HGNC:10117	RNU17C	U17				
HGNC:10118	SNHG3	U17HG, U17HG-A, NCRNA00014		603238	8420	ENSG00000242125
HGNC:10119	SNORA74A	U19			26821	ENSG00000200959
HGNC:1012	OPN1SW	BOP, CBT	P03999	613522	611	ENSG00000128617
HGNC:10120	RNU1-1	Rnu1a1, U1, HU1-1, U1A1, HSD1			26871	ENSG00000206652
HGNC:10121	RNU1A3	U1A1, HSD1				
HGNC:10123	RNU1-2	U1C1, U1C21			26870	ENSG00000207005
HGNC:10124	RNU1C2	U1C21				
HGNC:10125	RNU1D2	U1D2, HSD5, U1B2				
HGNC:10126	RNU1E2	U1E2				
HGNC:10127	RNU1F1	U1F, HSD7				
HGNC:10128	RNU1-4	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7		180680	6060	ENSG00000207389
HGNC:10129	RNU1G2	HSD2, U1D2, HSD5, U1B2				
HGNC:1013	BCPM					
HGNC:10130	RNU1-3	HSD4			26869	ENSG00000207513
HGNC:10131	RNU1G4	U1, HU1-1				
HGNC:10132	RNU1P1	U1P101, U1P15, U1.15				
